entry_at,field1,field2
2022-07-12 14:40:25,33.98,43.12
2022-07-12 14:41:05,34.11,43.24
2022-07-12 14:41:45,32.66,43.38
2022-07-12 14:42:25,31.48,43.49
2022-07-12 14:43:05,31.3,43.53
2022-07-12 14:43:45,30.44,43.55
2022-07-12 14:44:25,30.79,43.56
2022-07-12 14:45:05,31.01,43.55
2022-07-12 14:45:45,31.29,43.59
2022-07-12 14:46:25,31.45,43.61
2022-07-12 14:47:05,32.91,43.62
2022-07-12 14:47:45,31.19,43.63
2022-07-12 14:48:25,31.52,43.65
2022-07-12 14:49:05,29.95,43.51
2022-07-12 14:49:45,30.56,43.45
2022-07-12 14:50:25,30.47,43.43
2022-07-12 14:51:05,30.96,43.42
2022-07-12 14:51:45,30.24,43.36
2022-07-12 14:52:25,29.39,43.12
2022-07-12 14:53:05,30.36,43.12
2022-07-12 14:53:45,31.87,43.05
2022-07-12 14:54:25,30.07,42.95
2022-07-12 14:55:05,31.13,42.93
2022-07-12 14:55:45,31.79,42.95
2022-07-12 14:56:25,33.55,43.04
2022-07-12 14:57:05,32.25,43.09
2022-07-12 14:57:45,29.49,43.04
2022-07-12 14:58:25,31.16,43.08
2022-07-12 14:59:05,31.76,43.12
2022-07-12 14:59:45,30.93,43.14
2022-07-12 15:00:25,31.43,43.14
2022-07-12 15:01:05,30.64,43.11
2022-07-12 15:01:45,31.05,43.11
2022-07-12 15:02:25,30.28,42.95
2022-07-12 15:03:05,29.75,42.77
2022-07-12 15:03:45,30.64,42.82
2022-07-12 15:04:25,30.56,42.81
2022-07-12 15:05:05,30.42,42.59
2022-07-12 15:05:45,30.36,42.43
2022-07-12 15:06:25,29.95,42.35
2022-07-12 15:07:05,31.72,42.25
2022-07-12 15:07:45,30.89,42.25
2022-07-12 15:08:25,29.47,42.25
2022-07-12 15:09:05,32,42.3
2022-07-12 15:09:45,31.49,42.31
2022-07-12 15:10:25,30.72,42.39
2022-07-12 15:11:05,29.95,42.47
2022-07-12 15:11:45,32.36,42.69
2022-07-12 15:12:25,31.14,42.77
2022-07-12 15:13:05,32.64,42.84
2022-07-12 15:13:45,31.85,42.96
2022-07-12 15:14:25,30.86,43.04
2022-07-12 15:15:05,32,43.13
2022-07-12 15:15:45,30.85,43.14
2022-07-12 15:16:25,29.83,43.08
2022-07-12 15:17:05,30.35,43.08
2022-07-12 15:17:45,31.97,43.14
2022-07-12 15:18:25,33.04,43.23
2022-07-12 15:19:05,32.36,43.31
2022-07-12 15:19:45,32.21,43.47
2022-07-12 15:20:25,32.57,43.64
2022-07-12 15:21:05,31.23,43.66
2022-07-12 15:21:45,32.43,43.75
2022-07-12 15:22:25,29.33,43.52
2022-07-12 15:23:05,30.69,43.55
2022-07-12 15:23:45,29.88,43.57
2022-07-12 15:24:25,29.68,43.24
2022-07-12 15:25:05,29.93,43.17
2022-07-12 15:25:45,30.35,43.2
2022-07-12 15:26:25,29.23,43
2022-07-12 15:27:05,30.16,42.9
2022-07-12 15:27:45,30.92,42.92
2022-07-12 15:28:25,31.36,42.93
2022-07-12 15:29:05,31.79,42.97
2022-07-12 15:29:45,32.53,43.07
2022-07-12 15:30:25,30.26,43.1
2022-07-12 15:31:05,31.49,43.21
2022-07-12 15:31:45,32.23,43.24
2022-07-12 15:32:25,30.25,43.28
2022-07-12 15:33:05,29.66,43.29
2022-07-12 15:33:45,29.99,43.27
2022-07-12 15:34:25,31.22,43.31
2022-07-12 15:35:05,30.94,43.31
2022-07-12 15:35:45,32.8,43.4
2022-07-12 15:36:25,31.01,43.46
2022-07-12 15:37:05,32.48,43.55
2022-07-12 15:37:45,30.46,43.62
2022-07-12 15:38:25,31.08,43.74
2022-07-12 15:39:05,32.89,43.94
2022-07-12 15:39:45,31.46,44.04
2022-07-12 15:40:25,31.15,44.09
2022-07-12 15:41:05,30.42,44.14
2022-07-12 15:41:45,29.6,44.13
2022-07-12 15:42:25,31.43,44.19
2022-07-12 15:43:05,30.58,44.26
2022-07-12 15:43:45,28.26,44.21
2022-07-12 15:44:25,28.28,44.02
2022-07-12 15:45:05,28.82,44.03
2022-07-12 15:45:45,29.13,43.99
2022-07-12 15:46:25,30.3,44.01
2022-07-12 15:47:05,31.16,44.05
2022-07-12 15:47:45,32.46,44.1
2022-07-12 15:48:25,32.91,44.18
2022-07-12 15:49:05,31.92,44.28
2022-07-12 15:49:45,31.13,44.36
2022-07-12 15:50:25,29.92,44.33
2022-07-12 15:51:05,28.98,44.22
2022-07-12 15:51:45,29.47,44.05
2022-07-12 15:52:25,28.38,43.99
2022-07-12 15:53:05,29.41,43.92
2022-07-12 15:53:45,29.04,43.75
2022-07-12 15:54:25,29.45,43.69
2022-07-12 15:55:05,29.22,43.6
2022-07-12 15:55:45,28.72,43.35
2022-07-12 15:56:25,30.04,43.41
2022-07-12 15:57:05,30.37,43.4
2022-07-12 15:57:45,29.55,43.42
2022-07-12 15:58:25,30.79,43.48
2022-07-12 15:59:05,31.25,43.59
2022-07-12 15:59:45,31.39,43.63
2022-07-12 16:00:25,29.79,43.66
2022-07-12 16:01:05,31.31,43.79
2022-07-12 16:01:45,30.18,43.84
